scenario,plant_id,controller,variant_id,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
nominal,stable__no_zero,16_16 (rich11),mlp_rich_default,0.11513681603306457,2.0,0.000160969381446834,0.44574092515572894,2.787435134477652,False,False,,,5.0,4.5,4.0,2.0,6.0,4.5,4.333333333333333
disturbed,stable__no_zero,16_16 (rich11),mlp_rich_default,0.11766923330043993,2.0,0.00838698586256874,4.746968946197175,2.7569040327446466,False,False,,,4.0,4.5,4.0,8.0,4.0,4.5,4.833333333333333
hidden_pole,stable__no_zero,16_16 (rich11),mlp_rich_default,0.1312807104757961,2.0,4.2912446335757936e-05,0.4420955440562967,2.879758317894484,False,False,,,2.0,4.5,3.0,2.0,7.0,4.5,3.8333333333333335
nominal,stable__no_zero,16_16 (compact6),mlp_compact6,0.11714118206870448,2.0,0.0015081079867113635,0.5842578109821478,2.7103050106927378,False,False,,,7.0,4.5,7.0,7.0,3.0,4.5,5.5
disturbed,stable__no_zero,16_16 (compact6),mlp_compact6,0.11971226814628207,2.0,0.011528048288667115,2.1579579217923914,2.704977144920375,False,False,,,8.0,4.5,7.0,2.0,3.0,4.5,4.833333333333333
hidden_pole,stable__no_zero,16_16 (compact6),mlp_compact6,0.13315944341549651,2.0,0.0010662922858712418,0.5821737844057406,2.8173376529412635,False,False,,,6.0,4.5,8.0,7.0,3.0,4.5,5.5
nominal,stable__no_zero,32_32 (rich11),mlp_rich_wide,0.11344277732197255,2.0,0.0015661772900153511,0.6320644311116331,2.858861704965301,False,False,,,1.0,4.5,8.0,8.0,8.0,4.5,5.666666666666667
disturbed,stable__no_zero,32_32 (rich11),mlp_rich_wide,0.11602290109069559,2.0,0.011655264749756306,1.9634209560752918,2.8524811197134294,False,False,,,1.0,4.5,8.0,1.0,8.0,4.5,4.5
hidden_pole,stable__no_zero,32_32 (rich11),mlp_rich_wide,0.13043977251879835,2.0,0.0006912009933576307,0.6304268044867729,2.940529884816712,False,False,,,1.0,4.5,7.0,8.0,8.0,4.5,5.5
nominal,stable__no_zero,32_32 (compact6),mlp_compact6_wide,0.11403833802410296,2.0,0.00011413893499862565,0.4906597109526641,2.7858676532620885,False,False,,,3.0,4.5,3.0,4.0,5.0,4.5,4.0
disturbed,stable__no_zero,32_32 (compact6),mlp_compact6_wide,0.11666996738884183,2.0,0.00828736891556828,3.460882082324299,2.7930012123469936,False,False,,,3.0,4.5,2.0,5.0,6.0,4.5,4.166666666666667
hidden_pole,stable__no_zero,32_32 (compact6),mlp_compact6_wide,0.13170366712932013,2.0,0.00017290225833962167,0.4863442883604272,2.877844177786501,False,False,,,3.0,4.5,5.0,4.0,6.0,4.5,4.5
nominal,stable__no_zero,16_16_16 (rich11),mlp_max,0.11717022564990057,2.0,0.00028884309002300934,0.4733732679386179,2.6529172621804475,False,False,,,8.0,4.5,5.0,3.0,2.0,4.5,4.5
disturbed,stable__no_zero,16_16_16 (rich11),mlp_max,0.11971215951594465,2.0,0.008338102928369959,3.9502633412582195,2.6574814663238673,False,False,,,7.0,4.5,3.0,6.0,2.0,4.5,4.5
hidden_pole,stable__no_zero,16_16_16 (rich11),mlp_max,0.1336849189311439,2.0,8.437095799473524e-05,0.46969584027838623,2.705803893137927,False,False,,,7.0,4.5,4.0,3.0,2.0,4.5,4.166666666666667
nominal,stable__no_zero,16_16_16 (compact6),mlp_compact6_max,0.1164493433676531,2.0,5.759354839804702e-06,0.24432392851657214,2.6166432081631346,False,False,,,6.0,4.5,1.0,1.0,1.0,4.5,3.0
