scenario,controller,mean_mean_cost,median_mean_cost,mean_peak_error,median_peak_error,mean_tail_rms_error,median_tail_rms_error,mean_tail_growth_ratio,median_tail_growth_ratio,mean_max_abs_u,median_max_abs_u,mean_composite_rank,median_composite_rank,failure_count,late_escalation_count,failed_plants,failure_reasons,failure_cases,failure_details,late_escalation_plants,num_runs
disturbed,32_32 (rich11),0.17107005804592934,0.11525189110047787,2.2205490629986664,2.0,0.047049929573903776,0.03196024683795077,1.2855995759024659,1.1206525404946799,1.6618520425540853,1.4011339488571417,4.259259259259259,4.5,0,0,,,,,,9
disturbed,16_16 (rich11),26787010.704608575,0.11766923330043993,10415.395105276979,2.0,3424.93523004822,0.030243760840254097,2.373241610421138,1.2084102618883323,1.6336338910891461,1.3716511676928487,4.37037037037037,4.666666666666667,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=9.372e+04>10; tail_rms=3.082e+04>0.2 and tail_g=8.165>1.2),unstable__rhp_zero,9
disturbed,16_16_16 (rich11),16380213799.764906,0.11514189283229652,257514.47969321162,2.0,84692.25026271337,0.030958009767727713,2.2891366485371702,1.0177233066971645,1.6266848109688512,1.449931862533576,4.37037037037037,4.333333333333333,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=2.318e+06>10; tail_rms=7.622e+05>0.2 and tail_g=8.166>1.2),unstable__rhp_zero,9
disturbed,16_16_16 (compact6),62825352188.50014,0.11687029893299919,504321.9435116476,2.0,165863.63884893386,0.02800199356721552,2.3715301189228293,1.2890190257299579,1.5719826194683317,1.403434617626358,4.388888888888889,4.5,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=4.539e+06>10; tail_rms=1.493e+06>0.2 and tail_g=8.166>1.2),unstable__rhp_zero,9
disturbed,32_32_32 (rich11),0.19679309105973164,0.11547271146267035,2.2177543380347626,2.0,0.18956987702481257,0.03187815988206439,1.514037307171697,1.1719778643147716,1.6701029351049312,1.4717968213812616,4.425925925925926,4.5,1,1,unstable__rhp_zero,late_escalation,disturbed:unstable__rhp_zero,unstable__rhp_zero (tail_rms=1.369>0.2 and tail_g=1.405>1.2),unstable__rhp_zero,9
disturbed,32_32 (compact6),252705699.51065022,0.11643709781935245,31986.627846499872,2.0,10519.436109041655,0.02849081807672255,2.1968827748609616,1.0219456703939587,1.7503674626571863,1.4589044691510746,4.62962962962963,4.833333333333333,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=2.879e+05>10; tail_rms=9.467e+04>0.2 and tail_g=8.165>1.2),unstable__rhp_zero,9
disturbed,16_16 (compact6),3408283443.247442,0.11897862247352371,117466.37715224642,2.0,38632.41181730758,0.026944906122312463,2.016738501076898,1.1174805791330928,1.6526502312791587,1.3486679033311482,4.685185185185186,4.666666666666667,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=1.057e+06>10; tail_rms=3.477e+05>0.2 and tail_g=8.166>1.2),unstable__rhp_zero,9
disturbed,32_32_32 (compact6),83558339278.43323,0.11720365447456246,581614.4112354552,2.0,191284.0012826506,0.031160465476367714,2.128611435733126,1.039117876823218,1.6456435952152983,1.3934862351593489,4.87037037037037,4.666666666666667,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=5.235e+06>10; tail_rms=1.722e+06>0.2 and tail_g=8.166>1.2),unstable__rhp_zero,9
hidden_pole,32_32_32 (compact6),1099936262411.6614,0.13264264118070274,2110196.9272955447,2.0,694012.6337543593,0.000209559909857158,1.3576266242005297,0.497285357221395,1.7045776229683944,1.4465617487094087,4.222222222222222,4.0,1,1,unstable__rhp_zero,"late_escalation,peak_error",hidden_pole:unstable__rhp_zero,unstable__rhp_zero (peak_error=1.899e+07>10; tail_rms=6.246e+06>0.2 and tail_g=8.166>1.2),unstable__rhp_zero,9
hidden_pole,32_32_32 (rich11),0.14767552202416434,0.13251665880100533,2.1942365016557037,2.0,0.0022995794690675413,0.0009166404352575477,0.5765588516904622,0.5527299414253594,1.7382340328455959,1.48471777233912,4.2407407407407405,4.75,0,0,,,,,,9
hidden_pole,16_16_16 (rich11),621994697586.723,0.1336849189311439,1586838.2734938792,2.0,521887.5727395848,0.00039624127189008545,1.3643336814086295,0.46969584027838623,1.7294327052724858,1.4757179331046808,4.351851851851852,4.166666666666667,1,1,unstable__rhp_zero,"late_escalation,peak_error",hidden_pole:unstable__rhp_zero,unstable__rhp_zero (peak_error=1.428e+07>10; tail_rms=4.697e+06>0.2 and tail_g=8.166>1.2),unstable__rhp_zero,9
hidden_pole,16_16 (rich11),7418391353.772869,0.1312807104757961,173299.83799700416,2.0,56995.23402314526,0.0003752028533053938,1.4143772732935262,0.5524272801473671,1.7304536429103914,1.3910153901846496,4.611111111111111,4.666666666666667,1,1,unstable__rhp_zero,"late_escalation,peak_error",hidden_pole:unstable__rhp_zero,unstable__rhp_zero (peak_error=1.56e+06>10; tail_rms=5.13e+05>0.2 and tail_g=8.166>1.2),unstable__rhp_zero,9
hidden_pole,16_16 (compact6),704548948331.6345,0.13315944341549651,1688864.8512822667,2.0,555442.627953098,0.003989368553640338,1.40136434327741,0.6811030688228619,1.683298368464864,1.4917075184404363,4.611111111111112,4.666666666666667,1,1,unstable__rhp_zero,"late_escalation,peak_error",hidden_pole:unstable__rhp_zero,unstable__rhp_zero (peak_error=1.52e+07>10; tail_rms=4.999e+06>0.2 and tail_g=8.166>1.2),unstable__rhp_zero,9
hidden_pole,32_32 (rich11),0.17001815675620377,0.13043977251879835,2.19099708166963,2.0,0.03670532803600815,0.0006912009933576307,0.6574611578672698,0.5748052018251467,1.7701325733677142,1.5166105156175715,4.62962962962963,4.5,1,1,unstable__rhp_zero,late_escalation,hidden_pole:unstable__rhp_zero,unstable__rhp_zero (tail_rms=0.3109>0.2 and tail_g=1.354>1.2),unstable__rhp_zero,9
hidden_pole,16_16_16 (compact6),587082114026.3197,0.13431415403395844,1733073.049396257,2.0,569982.1407333306,0.0006931138038165198,2.1663675824780686,0.5442808488989945,1.6661400863401588,1.4569670814364073,4.648148148148149,4.75,2,2,"unstable__no_zero,unstable__rhp_zero","late_escalation,peak_error",hidden_pole:unstable__no_zero; hidden_pole:unstable__rhp_zero,unstable__no_zero (peak_error=1.846e+06>10; tail_rms=6.071e+05>0.2 and tail_g=8.166>1.2); unstable__rhp_zero (peak_error=1.375e+07>10; tail_rms=4.523e+06>0.2 and tail_g=8.166>1.2),"unstable__no_zero,unstable__rhp_zero",9
hidden_pole,32_32 (compact6),0.26464170449211016,0.13170366712932013,2.195123941456907,2.0,0.06791352734164322,0.0014659355176698363,0.7696731055921562,0.5527013094312537,1.7603945636350644,1.4304928411181146,4.685185185185186,4.5,1,1,unstable__rhp_zero,late_escalation,hidden_pole:unstable__rhp_zero,unstable__rhp_zero (tail_rms=0.5623>0.2 and tail_g=2.053>1.2),unstable__rhp_zero,9
nominal,32_32_32 (rich11),0.1245494564001098,0.11174084618810577,2.2171496395495294,2.0,0.003294606139550942,0.0004999198745660827,0.5371079454224456,0.5555398765630012,1.580740383420046,1.3869813638122659,4.064814814814814,4.333333333333333,0,0,,,,,,9
nominal,16_16_16 (rich11),31260577963.13027,0.11169493375930867,355745.5731903302,2.0,116998.9911584766,0.00028884309002300934,1.368358203604486,0.4733732679386179,1.6107317924002826,1.4483098288789347,4.231481481481481,4.0,1,1,unstable__rhp_zero,"late_escalation,peak_error",nominal:unstable__rhp_zero,unstable__rhp_zero (peak_error=3.202e+06>10; tail_rms=1.053e+06>0.2 and tail_g=8.166>1.2),unstable__rhp_zero,9
nominal,16_16 (rich11),0.13057768471308395,0.11438314057947524,2.1903265209311713,2.0,0.008663778179516999,0.00042033545279848526,0.5653806483553137,0.4936448609941433,1.5722597407398182,1.2998521759127841,4.453703703703704,4.583333333333333,0,0,,,,,,9
nominal,32_32 (rich11),0.1328777670126489,0.11154725892507761,2.2129572752745825,2.0,0.027026868299112702,0.0014225856634235718,0.630007250522692,0.5742009709118603,1.6066984584217516,1.3818602249623675,4.4907407407407405,4.583333333333333,0,0,,,,,,9
nominal,32_32 (compact6),0.13530141564655787,0.11107011731924403,2.2106066271899616,2.0,0.01634589054159619,0.0004957129517296797,0.6334362393323938,0.5437250539221339,1.6041543927745647,1.4316938340585894,4.564814814814815,4.666666666666667,0,0,,,,,,9
