scenario,plant_id,controller,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,mean_step_ms,median_step_ms,p95_step_ms,max_step_ms,utilization_pct,benchmark_samples,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
nominal,stable__no_zero,MPC,0.21983677519591763,2.0,3.355273115013472e-07,0.2509035111838985,3.2711136724677226,0.020067348184818482,0.019768975247524752,0.02139377425742574,0.021681930693069305,0.02139377425742574,12,False,False,,,1.0,5.5,1.0,1.0,10.0,5.5,4.0
nominal,stable__no_zero,RL (PID-features),0.23437233924236794,2.0,0.0003144367984986556,0.28701220164352914,2.60011027078055,0.00175886798679868,0.001766089108910891,0.0018385707920792077,0.001917079207920792,0.0018385707920792077,12,False,False,,,10.0,5.5,2.0,2.0,1.0,5.5,4.333333333333333
nominal,stable__no_zero,16_16 (rich11),0.22913308225254042,2.0,0.003812442108556139,0.6537208142253402,2.787435134477652,0.006283931518151815,0.006418727722772277,0.006464340594059406,0.006468653465346535,0.006464340594059406,12,False,False,,,6.0,5.5,6.0,4.0,7.0,5.5,5.666666666666667
nominal,stable__no_zero,16_16 (compact6),0.23310693347247644,2.0,0.013527461261604382,0.7414474192384983,2.7103050106927378,0.005920173267326734,0.006378094059405941,0.00662619702970297,0.006803623762376238,0.00662619702970297,12,False,False,,,8.0,5.5,10.0,9.0,4.0,5.5,7.0
nominal,stable__no_zero,32_32 (rich11),0.2257505538165229,2.0,0.010049685526610173,0.7813306190699325,2.858861704965301,0.00702025,0.006998762376237624,0.007305278712871286,0.007532178217821782,0.0073052787128712856,12,False,False,,,2.0,5.5,9.0,10.0,9.0,5.5,6.833333333333333
nominal,stable__no_zero,32_32 (compact6),0.2269473948870912,2.0,0.001886318805269,0.6878693835326068,2.7858676532620885,0.006715345709570958,0.006696777227722772,0.006828133168316832,0.006830861386138614,0.006828133168316832,12,False,False,,,4.0,5.5,5.0,6.0,6.0,5.5,5.333333333333333
nominal,stable__no_zero,16_16_16 (rich11),0.23317892814301255,2.0,0.005460249311833023,0.675009063352329,2.6529172621804475,0.006514818481848184,0.006231232673267326,0.00762460594059406,0.007898930693069307,0.007624605940594059,12,False,False,,,9.0,5.5,7.0,5.0,3.0,5.5,5.833333333333333
nominal,stable__no_zero,16_16_16 (compact6),0.23174571089932103,2.0,0.0012130991645761895,0.4791511213300434,2.6166432081631346,0.007619841584158415,0.007590138613861387,0.008211671287128713,0.008900990099009902,0.008211671287128713,12,False,False,,,7.0,5.5,4.0,3.0,2.0,5.5,4.5
nominal,stable__no_zero,32_32_32 (rich11),0.22692951428567615,2.0,0.0009690940976902028,0.7343414122546059,2.803619564686253,0.008623557755775578,0.008481435643564355,0.009085875247524753,0.009101079207920791,0.009085875247524753,12,False,False,,,3.0,5.5,3.0,8.0,8.0,5.5,5.5
nominal,stable__no_zero,32_32_32 (compact6),0.22826636778285173,2.0,0.005589987935910444,0.6949427100436238,2.7720959651016375,0.00828661386138614,0.008222980198019803,0.008651485148514852,0.008877475247524753,0.008651485148514852,12,False,False,,,5.0,5.5,8.0,7.0,5.0,5.5,6.0
disturbed,stable__no_zero,MPC,0.22209544374354678,2.0,0.04099591599997849,1.0196209036826247,3.2369470736035146,0.02007992904290429,0.01964108415841584,0.02167673118811881,0.022528049504950493,0.02167673118811881,12,False,False,,,1.0,5.5,10.0,9.0,10.0,5.5,6.833333333333333
disturbed,stable__no_zero,RL (PID-features),0.2363510820717999,2.0,0.005611243450276429,1.186676772027645,2.6106636710333917,0.002093476897689769,0.0021264455445544556,0.0023826113861386135,0.0024826732673267323,0.0023826113861386135,12,False,False,,,10.0,5.5,1.0,10.0,1.0,5.5,5.5
disturbed,stable__no_zero,16_16 (rich11),0.23145340542866918,2.0,0.01778770283307233,0.7578641982365838,2.7794923062430086,0.0065480610561056115,0.006567658415841584,0.0066892702970297035,0.006740099009900991,0.0066892702970297035,12,False,False,,,5.0,5.5,3.0,3.0,7.0,5.5,4.833333333333333
disturbed,stable__no_zero,16_16 (compact6),0.2352817385994575,2.0,0.034397337856512084,0.8026079682669747,2.684561176646535,0.005070855610561056,0.005011965346534654,0.005419516831683169,0.005615099009900991,0.005419516831683169,12,False,False,,,8.0,5.5,9.0,6.0,4.0,5.5,6.333333333333333
disturbed,stable__no_zero,32_32 (rich11),0.2285901767601046,2.0,0.03342164253948912,0.8314271846858171,2.8683346928085736,0.00699604702970297,0.0069506980198019794,0.007312463861386139,0.007646455445544554,0.007312463861386138,12,False,False,,,2.0,5.5,8.0,8.0,9.0,5.5,6.333333333333333
disturbed,stable__no_zero,32_32 (compact6),0.22931156681475678,2.0,0.021044975785063178,0.761692755822612,2.7706146246823717,0.006838249174917491,0.006774133663366337,0.007143361386138613,0.00717739603960396,0.007143361386138613,12,False,False,,,3.0,5.5,4.0,5.0,6.0,5.5,4.833333333333333
disturbed,stable__no_zero,16_16_16 (rich11),0.2358567750431149,2.0,0.021393249841039852,0.751184600056975,2.661092336458751,0.007365855610561057,0.007713490099009901,0.007858585643564356,0.00794390099009901,0.007858585643564356,12,False,False,,,9.0,5.5,5.0,2.0,3.0,5.5,5.0
disturbed,stable__no_zero,16_16_16 (compact6),0.23484701243602635,2.0,0.013006569014401696,0.6336343727589037,2.6157067832113254,0.007647655940594058,0.0077060643564356435,0.008092536633663366,0.008372524752475246,0.008092536633663366,12,False,False,,,7.0,5.5,2.0,1.0,2.0,5.5,3.8333333333333335
disturbed,stable__no_zero,32_32_32 (rich11),0.22944876503638975,2.0,0.022322189369735276,0.8026453264158799,2.7956312720630567,0.008499210396039602,0.008465965346534654,0.00869523514851485,0.008814356435643564,0.00869523514851485,12,False,False,,,4.0,5.5,6.0,7.0,8.0,5.5,6.0
disturbed,stable__no_zero,32_32_32 (compact6),0.23162987045034958,2.0,0.024370967412582333,0.7616891885321978,2.758707768810608,0.008554421617161717,0.00841521782178218,0.009048432673267326,0.009196366336633665,0.009048432673267326,12,False,False,,,6.0,5.5,7.0,4.0,5.0,5.5,5.5
hidden_pole,stable__no_zero,MPC,0.25595429058751434,2.0,1.7823514635928988e-06,0.08168540508942101,3.4699690198771913,0.020057686468646866,0.019729163366336636,0.021748392574257425,0.02359942574257426,0.021748392574257425,12,False,False,,,1.0,5.5,1.0,1.0,10.0,5.5,4.0
hidden_pole,stable__no_zero,RL (PID-features),0.2647614847628025,2.0,0.00018360731092158142,0.635984846133668,2.844842457297579,0.0022882310231023104,0.0022398960396039606,0.0026018737623762374,0.002872108910891089,0.0026018737623762374,12,False,False,,,7.0,5.5,2.0,3.0,4.0,5.5,4.5
hidden_pole,stable__no_zero,16_16 (rich11),0.2612615691270767,2.0,0.0010432003950053136,0.6515851746388007,2.879758317894484,0.006140091584158416,0.006331475247524752,0.006477886633663366,0.006494217821782178,0.006477886633663365,12,False,False,,,3.0,5.5,4.0,4.0,8.0,5.5,5.0
hidden_pole,stable__no_zero,16_16 (compact6),0.264992616366894,2.0,0.009551885188705258,0.7437693494410159,2.8173376529412635,0.006037989273927392,0.006319925742574258,0.007290962376237623,0.0076526336633663365,0.007290962376237623,12,False,False,,,8.0,5.5,10.0,9.0,3.0,5.5,6.833333333333333
