N,mean_mean_cost,median_mean_cost,mean_peak_error,median_peak_error,mean_tail_rms_error,median_tail_rms_error,mean_tail_growth_ratio,median_tail_growth_ratio,mean_max_abs_u,median_max_abs_u,mean_mean_step_ms,median_mean_step_ms,mean_median_step_ms,median_median_step_ms,mean_p95_step_ms,median_p95_step_ms,mean_max_step_ms,median_max_step_ms,mean_utilization_pct,median_utilization_pct,failure_count,late_escalation_count,failed_plants,failure_reasons,failure_cases,failure_details,late_escalation_plants,num_runs
1,1085760841493.8833,1.6831565559100925,1898687.4140016462,2.0,686840.8949655759,1.3968624600755795,2.4057888962697183,0.9498177880489276,6153894.628516165,2.081667995079941,0.005593522563714705,0.0055861650165016504,0.005599307474949303,0.005604836633663367,0.005632002609944729,0.005634898452970297,0.005636024525494718,0.005638355198019801,0.005632002609944729,0.005634898452970297,4,4,"integrator__rhp_zero,stable__rhp_zero,unstable__no_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=1:integrator__rhp_zero; N=1:stable__rhp_zero; N=1:unstable__no_zero; N=1:unstable__rhp_zero,integrator__rhp_zero (peak_error=3.17e+06>10; max_abs_u=1.015e+07>50; tail_rms=1.193e+06>0.2 and tail_g=5.705>1.2); stable__rhp_zero (peak_error=5.377e+05>10; max_abs_u=1.728e+06>50; tail_rms=2.158e+05>0.2 and tail_g=4.478>1.2); unstable__no_zero (peak_error=304>10; max_abs_u=157.6>50; tail_rms=163.8>0.2 and tail_g=2.492>1.2); unstable__rhp_zero (peak_error=1.338e+07>10; max_abs_u=4.351e+07>50; tail_rms=4.772e+06>0.2 and tail_g=7.242>1.2),"integrator__rhp_zero,stable__rhp_zero,unstable__no_zero,unstable__rhp_zero",9
2,25068121169316.777,0.7993216609377991,7164292.200709747,2.0,2514416.7109286655,0.507195232795795,3.015643774093038,1.4331784422964415,49250037.0730787,2.664727813584766,0.005875318101062114,0.005868893770627063,0.005882311694798998,0.005903748762376237,0.005948864284530863,0.005947607673267327,0.005973335111071348,0.005951011138613862,0.005948864284530863,0.005947607673267327,4,4,"integrator__rhp_zero,stable__rhp_zero,unstable__no_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=2:integrator__rhp_zero; N=2:stable__rhp_zero; N=2:unstable__no_zero; N=2:unstable__rhp_zero,integrator__rhp_zero (peak_error=2.418e+07>10; max_abs_u=1.494e+08>50; tail_rms=8.561e+06>0.2 and tail_g=7.506>1.2); stable__rhp_zero (peak_error=6.845e+06>10; max_abs_u=3.579e+07>50; tail_rms=2.531e+06>0.2 and tail_g=6.154>1.2); unstable__no_zero (peak_error=72.11>10; max_abs_u=59.93>50; tail_rms=36.61>0.2 and tail_g=2.605>1.2); unstable__rhp_zero (peak_error=3.345e+07>10; max_abs_u=2.581e+08>50; tail_rms=1.154e+07>0.2 and tail_g=8.566>1.2),"integrator__rhp_zero,stable__rhp_zero,unstable__no_zero,unstable__rhp_zero",9
3,141621374898845.5,0.39662769961997385,11739884.804816127,2.0,4060216.816307582,0.09342578257359105,3.076460450393663,0.9413769726539228,129239419.87278043,3.120801861652161,0.00591603268519623,0.00590464717409241,0.005925072967613026,0.005931002475247525,0.0059701755115345876,0.0059650319306930695,0.005991972104589977,0.005968492574257426,0.0059701755115345876,0.00596503193069307,3,3,"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=3:integrator__rhp_zero; N=3:stable__rhp_zero; N=3:unstable__rhp_zero,integrator__rhp_zero (peak_error=5.206e+07>10; max_abs_u=4.734e+08>50; tail_rms=1.8e+07>0.2 and tail_g=8.46>1.2); stable__rhp_zero (peak_error=1.581e+07>10; max_abs_u=1.008e+08>50; tail_rms=5.703e+06>0.2 and tail_g=6.866>1.2); unstable__rhp_zero (peak_error=3.779e+07>10; max_abs_u=5.89e+08>50; tail_rms=1.284e+07>0.2 and tail_g=9.286>1.2),"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero",9
4,272269247047900.5,0.2726889810021192,11693803.754124504,2.0,4025017.752371725,0.006918480113962113,2.9891566277553223,0.47795498072068326,174084340.00276074,3.380264758107182,0.005960184455920492,0.005960155424917492,0.005960678796870651,0.00595890099009901,0.006014881473004228,0.006008403094059406,0.006042195025978501,0.006014387376237623,0.006014881473004228,0.006008403094059406,3,3,"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=4:integrator__rhp_zero; N=4:stable__rhp_zero; N=4:unstable__rhp_zero,integrator__rhp_zero (peak_error=6.142e+07>10; max_abs_u=6.24e+08>50; tail_rms=2.112e+07>0.2 and tail_g=8.707>1.2); stable__rhp_zero (peak_error=1.23e+07>10; max_abs_u=7.365e+07>50; tail_rms=4.469e+06>0.2 and tail_g=6.641>1.2); unstable__rhp_zero (peak_error=3.152e+07>10; max_abs_u=8.691e+08>50; tail_rms=1.064e+07>0.2 and tail_g=9.653>1.2),"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero",9
5,242187527579838.78,0.23370616548870463,8592353.486131664,2.0,2962093.097581489,0.00036181251590341687,2.771414260766964,0.33153131706523753,148546588.34441227,3.283481422977908,0.0059964895529588105,0.00598116501650165,0.006001589036012035,0.005999381806930693,0.006036631897143027,0.006025631745049505,0.006042613914403489,0.006029290841584159,0.006036631897143027,0.006025631745049505,3,3,"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=5:integrator__rhp_zero; N=5:stable__rhp_zero; N=5:unstable__rhp_zero,integrator__rhp_zero (peak_error=4.525e+07>10; max_abs_u=3.781e+08>50; tail_rms=1.572e+07>0.2 and tail_g=8.262>1.2); stable__rhp_zero (peak_error=3.244e+06>10; max_abs_u=1.446e+07>50; tail_rms=1.227e+06>0.2 and tail_g=5.586>1.2); unstable__rhp_zero (peak_error=2.884e+07>10; max_abs_u=9.444e+08>50; tail_rms=9.715e+06>0.2 and tail_g=9.734>1.2),"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero",9
6,142224990307547.12,0.22273949668308604,5838729.485281289,2.0,2014606.5627397588,1.836578839306057e-05,2.4181136424094536,0.16783550374062792,97134762.37153588,2.7402019504742787,0.006032374335902466,0.006047554146039604,0.006033689555250706,0.006032564975247526,0.006097021157650404,0.006070753403465347,0.006128277622039313,0.0060952450495049505,0.006097021157650404,0.006070753403465346,3,3,"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=6:integrator__rhp_zero; N=6:stable__rhp_zero; N=6:unstable__rhp_zero,integrator__rhp_zero (peak_error=1.795e+07>10; max_abs_u=9.774e+07>50; tail_rms=6.414e+06>0.2 and tail_g=7.172>1.2); stable__rhp_zero (peak_error=2.443e+05>10; max_abs_u=6.832e+05>50; tail_rms=1.011e+05>0.2 and tail_g=4.042>1.2); unstable__rhp_zero (peak_error=3.436e+07>10; max_abs_u=7.758e+08>50; tail_rms=1.162e+07>0.2 and tail_g=9.544>1.2),"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero",9
7,52883297883886.445,0.22097475224882765,4597947.264456272,2.0,1581257.789667311,3.2039880978175287e-06,2.0057741418683244,0.179236134553712,52903663.37512648,2.6321326768170197,0.00612675295599339,0.006137509179042905,0.006122700501676673,0.0061255160891089105,0.006197782549836309,0.0061714463490099005,0.006232246389849828,0.006180435643564357,0.006197782549836309,0.0061714463490099005,3,3,"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=7:integrator__rhp_zero; N=7:stable__rhp_zero; N=7:unstable__rhp_zero,integrator__rhp_zero (peak_error=2.973e+06>10; max_abs_u=9.179e+06>50; tail_rms=1.124e+06>0.2 and tail_g=5.606>1.2); stable__rhp_zero (peak_error=4764>10; max_abs_u=7375>50; tail_rms=2366>0.2 and tail_g=2.508>1.2); unstable__rhp_zero (peak_error=3.84e+07>10; max_abs_u=4.669e+08>50; tail_rms=1.311e+07>0.2 and tail_g=9.069>1.2),"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero",9
8,10746195493146.523,0.22019956308160155,3379414.5559969265,2.0,1174310.9941942496,5.030607132584487e-07,1.5813132378197148,0.12754096855523514,21113850.896044984,2.540735483709787,0.006325686153027953,0.00633425732260726,0.006331247961317216,0.0063338490099009905,0.006371185193745277,0.006362247772277227,0.006380792670682731,0.006366955445544554,0.006371185193745277,0.006362247772277227,3,3,"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=8:integrator__rhp_zero; N=8:stable__rhp_zero; N=8:unstable__rhp_zero,integrator__rhp_zero (peak_error=1.679e+05>10; max_abs_u=2.629e+05>50; tail_rms=7.033e+04>0.2 and tail_g=3.888>1.2); stable__rhp_zero (peak_error=29.01>10; tail_rms=21.24>0.2 and tail_g=1.369>1.2); unstable__rhp_zero (peak_error=3.025e+07>10; max_abs_u=1.898e+08>50; tail_rms=1.05e+07>0.2 and tail_g=8.29>1.2),"integrator__rhp_zero,stable__rhp_zero,unstable__rhp_zero",9
9,1158580274247.5818,0.2199840651571119,1593839.6874192583,2.0,569225.2120114309,4.32623834200822e-07,1.2451161034501428,0.18666064663545048,5059840.060596116,2.1460309886816664,0.006502314076023566,0.006486527640264027,0.0065021598100322075,0.006500695544554456,0.006570399288739115,0.006537948267326733,0.0065841242461595565,0.006550483910891089,0.006570399288739115,0.006537948267326733,2,2,"integrator__rhp_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=9:integrator__rhp_zero; N=9:unstable__rhp_zero,integrator__rhp_zero (peak_error=3095>10; max_abs_u=2058>50; tail_rms=1573>0.2 and tail_g=2.389>1.2); unstable__rhp_zero (peak_error=1.434e+07>10; max_abs_u=4.554e+07>50; tail_rms=5.121e+06>0.2 and tail_g=7.2>1.2),"integrator__rhp_zero,unstable__rhp_zero",9
10,55888900654.80278,0.21987084188266018,396201.1878706406,2.0,148217.9106109009,4.699786188289227e-07,0.9526893166808379,0.20111599563283697,590535.5644385326,2.1269032143505173,0.006492526720744363,0.006503063840759074,0.00649391080410752,0.006478614934987474,0.006587735020030617,0.006584191707920792,0.006626666709743264,0.006585241336633663,0.006587735020030617,0.006584191707920792,2,2,"integrator__rhp_zero,unstable__rhp_zero","late_escalation,max_abs_u,peak_error",N=10:integrator__rhp_zero; N=10:unstable__rhp_zero,integrator__rhp_zero (peak_error=23.19>10; tail_rms=17.36>0.2 and tail_g=1.334>1.2); unstable__rhp_zero (peak_error=3.566e+06>10; max_abs_u=5.315e+06>50; tail_rms=1.334e+06>0.2 and tail_g=5.853>1.2),"integrator__rhp_zero,unstable__rhp_zero",9
