N,plant_id,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,late_escalation,failure,failure_reason,failure_detail,mean_step_ms,median_step_ms,p95_step_ms,max_step_ms,utilization_pct,benchmark_samples,failure_count
1,unstable__rhp_zero,9228200787185.305,13380183.954656385,4772377.476869217,7.24161699682195,43510897.59502247,True,True,"peak_error,max_abs_u,late_escalation",peak_error=1.338e+07>10; max_abs_u=4.351e+07>50; tail_rms=4.772e+06>0.2 and tail_g=7.242>1.2,0.005551776402640264,0.005547181259692235,0.00561048252415603,0.005613041274006919,0.005610482524156029,12,1
2,unstable__rhp_zero,162645711444811.53,33451900.7148816,11538075.137247106,8.565753888728098,258101080.76905727,True,True,"peak_error,max_abs_u,late_escalation",peak_error=3.345e+07>10; max_abs_u=2.581e+08>50; tail_rms=1.154e+07>0.2 and tail_g=8.566>1.2,0.0058305702115392264,0.005798321961111774,0.005964629798401527,0.00597087367290946,0.005964629798401527,12,1
3,unstable__rhp_zero,735892562545710.9,37792572.48406851,12840825.21814767,9.286488783027256,588968263.3401753,True,True,"peak_error,max_abs_u,late_escalation",peak_error=3.779e+07>10; max_abs_u=5.89e+08>50; tail_rms=1.284e+07>0.2 and tail_g=9.286>1.2,0.005886968259175315,0.005889265000596445,0.005947855779553859,0.005954252654181081,0.005947855779553859,12,1
4,unstable__rhp_zero,1565141491402555.5,31522649.11538863,10636022.333185628,9.653480083974781,869092574.4225092,True,True,"peak_error,max_abs_u,late_escalation",peak_error=3.152e+07>10; max_abs_u=8.691e+08>50; tail_rms=1.064e+07>0.2 and tail_g=9.653>1.2,0.005957567487772874,0.005957217463915066,0.006025300769414291,0.006081434689252058,0.006025300769414291,12,1
5,unstable__rhp_zero,1844487464021712.5,28836787.290964603,9715386.735333262,9.734270815386528,944353935.4066327,True,True,"peak_error,max_abs_u,late_escalation",peak_error=2.884e+07>10; max_abs_u=9.444e+08>50; tail_rms=9.715e+06>0.2 and tail_g=9.734>1.2,0.005921238588015428,0.005909489442920196,0.005972794190623881,0.005980317308839318,0.005972794190623881,12,1
6,unstable__rhp_zero,1252536715198263.0,34359076.141029954,11616773.677525379,9.543701629620294,775792270.1107228,True,True,"peak_error,max_abs_u,late_escalation",peak_error=3.436e+07>10; max_abs_u=7.758e+08>50; tail_rms=1.162e+07>0.2 and tail_g=9.544>1.2,0.006050328800349915,0.006049338422998927,0.006109811767863534,0.006122783251819158,0.006109811767863533,12,1
7,unstable__rhp_zero,475494029486372.1,38404070.8137396,13105212.985313063,9.069453282119676,466946132.2077306,True,True,"peak_error,max_abs_u,late_escalation",peak_error=3.84e+07>10; max_abs_u=4.669e+08>50; tail_rms=1.311e+07>0.2 and tail_g=9.069>1.2,0.006146870044534573,0.006103995109149469,0.006330744804962424,0.0064241172611237025,0.006330744804962424,12,1
8,unstable__rhp_zero,96714399782717.98,30246828.425465286,10498451.20798951,8.289527492314036,189761679.65097415,True,True,"peak_error,max_abs_u,late_escalation",peak_error=3.025e+07>10; max_abs_u=1.898e+08>50; tail_rms=1.05e+07>0.2 and tail_g=8.29>1.2,0.006308131029066762,0.006301570141953955,0.006387586174400572,0.006433580818322796,0.006387586174400573,12,1
9,unstable__rhp_zero,10427221817042.738,14341447.743235245,5121453.329248958,7.199845827339965,45536489.91822946,True,True,"peak_error,max_abs_u,late_escalation",peak_error=1.434e+07>10; max_abs_u=4.554e+07>50; tail_rms=5.121e+06>0.2 and tail_g=7.2>1.2,0.006432152282396915,0.006433680245735417,0.006474358821424311,0.006477573660980556,0.006474358821424311,12,1
10,unstable__rhp_zero,503000105788.0978,3565773.1616259897,1333943.8339227322,5.852706995943355,5314804.045503802,True,True,"peak_error,max_abs_u,late_escalation",peak_error=3.566e+06>10; max_abs_u=5.315e+06>50; tail_rms=1.334e+06>0.2 and tail_g=5.853>1.2,0.006503710783728976,0.006478614934987474,0.006663041727305261,0.006666557318382441,0.006663041727305261,12,1
11,unstable__rhp_zero,7048048278.398573,407732.6164339344,164625.95503321305,4.386155667541973,221063.6442222727,True,True,"peak_error,max_abs_u,late_escalation",peak_error=4.077e+05>10; max_abs_u=2.211e+05>50; tail_rms=1.646e+05>0.2 and tail_g=4.386>1.2,0.006547937651596485,0.0065292879637361325,0.00664671086126685,0.006656959441727305,0.006646710861266849,12,1
