controller,mean_mean_cost,median_mean_cost,mean_peak_error,median_peak_error,mean_tail_rms_error,median_tail_rms_error,mean_tail_growth_ratio,median_tail_growth_ratio,mean_max_abs_u,median_max_abs_u,mean_composite_rank,median_composite_rank,mean_mean_step_ms,median_mean_step_ms,mean_median_step_ms,median_median_step_ms,mean_p95_step_ms,median_p95_step_ms,mean_max_step_ms,median_max_step_ms,mean_utilization_pct,median_utilization_pct,failure_count,late_escalation_count,failed_plants,failure_reasons,failure_cases,failure_details,late_escalation_plants,num_runs
16_16 (compact6),974.1479178678115,0.23310693347247644,30.38747643553184,2.0,13.16180249724775,0.034397337856512084,1.041661086949858,0.8470667306281643,1.6372922992294585,1.368042574720145,5.867283950617284,5.833333333333333,0.005970253942060873,0.006037989273927392,0.006095748258159149,0.0062660891089108915,0.006532301888522186,0.006547444059405941,0.006720525119178585,0.006660891089108911,0.006532301888522186,0.006547444059405941,3,3,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero; hidden_pole:unstable__rhp_zero; nominal:unstable__rhp_zero,unstable__rhp_zero (peak_error=34.93>10; tail_rms=16.34>0.2 and tail_g=2.823>1.2); unstable__rhp_zero (peak_error=43.54>10; tail_rms=20.26>0.2 and tail_g=2.829>1.2); unstable__rhp_zero (peak_error=690.8>10; tail_rms=317.6>0.2 and tail_g=2.995>1.2),unstable__rhp_zero,27
16_16 (rich11),11.347488649465497,0.23145340542866918,4.8426676188860425,2.0,1.3785452450813642,0.036471423710718966,0.9338549120007512,0.7619508891492294,1.6440429944967008,1.342130058897059,5.675925925925926,5.666666666666667,0.00614612467913458,0.006095881188118812,0.006242199853318665,0.006336014851485149,0.00696504941327466,0.006694429207920792,0.007337733406674,0.006740099009900991,0.006965049413274661,0.006694429207920791,3,3,"integrator__rhp_zero,unstable__rhp_zero","late_escalation,peak_error",disturbed:integrator__rhp_zero; disturbed:unstable__rhp_zero; hidden_pole:unstable__rhp_zero,integrator__rhp_zero (tail_rms=0.2934>0.2 and tail_g=1.211>1.2); unstable__rhp_zero (peak_error=72.23>10; tail_rms=33.76>0.2 and tail_g=2.828>1.2); unstable__rhp_zero (tail_rms=2.503>0.2 and tail_g=1.898>1.2),"integrator__rhp_zero,unstable__rhp_zero",27
16_16_16 (compact6),1007.1343183875421,0.23174571089932103,44.39377478953198,2.0,19.61232137741004,0.02655711691755499,0.992752807535996,0.7736956660208401,1.5999305972129694,1.4084847901172666,5.62037037037037,5.666666666666667,0.007322705445544555,0.00740580198019802,0.007409904840484048,0.007593445544554455,0.00807138032636597,0.007987029207920791,0.008291696369636963,0.008177386138613862,0.00807138032636597,0.007987029207920791,4,4,"unstable__no_zero,unstable__rhp_zero","late_escalation,peak_error",disturbed:unstable__rhp_zero; hidden_pole:unstable__no_zero; hidden_pole:unstable__rhp_zero; nominal:unstable__rhp_zero,unstable__no_zero (peak_error=83.14>10; tail_rms=38>0.2 and tail_g=3.052>1.2); unstable__rhp_zero (peak_error=202.8>10; tail_rms=93.53>0.2 and tail_g=2.96>1.2); unstable__rhp_zero (peak_error=238.1>10; tail_rms=109.7>0.2 and tail_g=2.974>1.2); unstable__rhp_zero (peak_error=625.4>10; tail_rms=287.6>0.2 and tail_g=2.99>1.2),"unstable__no_zero,unstable__rhp_zero",27
16_16_16 (rich11),963.644766204763,0.23317892814301255,37.855511706745716,2.0,16.58676320720932,0.00589026266157388,0.9600994323012716,0.7500864492363908,1.6578913239499529,1.4520816430775716,5.44753086419753,5.25,0.007407796724116855,0.0074970445544554455,0.007505546204620463,0.007678420792079208,0.008213826732673266,0.00823354108910891,0.00845718811881188,0.008455861386138614,0.008213826732673266,0.00823354108910891,3,3,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero; hidden_pole:unstable__rhp_zero; nominal:unstable__rhp_zero,unstable__rhp_zero (peak_error=146.7>10; tail_rms=67.84>0.2 and tail_g=2.93>1.2); unstable__rhp_zero (peak_error=174.3>10; tail_rms=80.46>0.2 and tail_g=2.951>1.2); unstable__rhp_zero (peak_error=649.7>10; tail_rms=298.9>0.2 and tail_g=2.987>1.2),unstable__rhp_zero,27
32_32 (compact6),0.35537499260383326,0.2269473948870912,2.2079123561439293,2.0,0.1386193681041852,0.01966056880124896,0.9827581267536742,0.8333443191812323,1.6800683712634534,1.4316938340585894,5.663580246913581,5.666666666666667,0.0068873558855885595,0.0068742103960396025,0.006794034470113678,0.006774133663366337,0.007383415419875321,0.007363613861386138,0.007704559955995599,0.007631188118811881,0.007383415419875321,0.0073636138613861375,3,3,unstable__rhp_zero,late_escalation,disturbed:unstable__rhp_zero; hidden_pole:unstable__rhp_zero; nominal:unstable__rhp_zero,unstable__rhp_zero (tail_rms=0.2218>0.2 and tail_g=1.804>1.2); unstable__rhp_zero (tail_rms=0.9582>0.2 and tail_g=4.157>1.2); unstable__rhp_zero (tail_rms=1.842>0.2 and tail_g=1.492>1.2),unstable__rhp_zero,27
32_32 (rich11),0.29361321216801745,0.22579932222766466,2.205680792235291,2.0,0.0794439333031976,0.01774743866098968,0.8857456859449349,0.7813306190699325,1.6796866957376606,1.3853884543883335,5.354938271604938,5.333333333333333,0.0070519294096076275,0.007052942244224422,0.006974438027136046,0.006961633663366337,0.007475437220388705,0.007397586633663366,0.007741335900256692,0.007646455445544554,0.007475437220388705,0.007397586633663366,0,0,,,,,,27
32_32_32 (compact6),1709.7611033881392,0.22826636778285173,50.24297335709348,2.0,22.25474143941016,0.016818157128499947,1.0577137278629987,0.7987653651426512,1.653527352827685,1.4239073315009245,5.929012345679013,5.75,0.008555522491138003,0.008550330858085807,0.008434443894389439,0.008416663366336634,0.009150268866886689,0.009048432673267326,0.009438958562522918,0.009286722772277227,0.009150268866886689,0.009048432673267326,3,3,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero; hidden_pole:unstable__rhp_zero; nominal:unstable__rhp_zero,unstable__rhp_zero (peak_error=186.7>10; tail_rms=85.9>0.2 and tail_g=2.982>1.2); unstable__rhp_zero (peak_error=255.9>10; tail_rms=117.6>0.2 and tail_g=2.994>1.2); unstable__rhp_zero (peak_error=862.5>10; tail_rms=396.3>0.2 and tail_g=3.001>1.2),unstable__rhp_zero,27
32_32_32 (rich11),0.26833613275589585,0.22692951428567615,2.210668669643312,2.0,0.041233216295566186,0.022322189369735276,0.7856504012153022,0.8026453264158799,1.6475625464762922,1.445006337766847,5.200617283950617,5.333333333333333,0.008675468860774967,0.008703175742574258,0.008569796112944629,0.008564772277227722,0.009199439585625227,0.009153384653465347,0.009497616428309498,0.009308574257425742,0.009199439585625227,0.009153384653465347,0,0,,,,,,27
MPC,0.26025561013015425,0.22209544374354678,2.2621981406126954,2.0,0.0416988354955582,8.522213026499978e-07,0.4564957178294992,0.23270658965948618,1.8053724578723742,1.4801390192067105,4.478395061728396,4.416666666666667,0.02000580100232246,0.019998796204620462,0.019799710304363765,0.019768975247524752,0.021135130289695634,0.021203157425742573,0.02155228602860286,0.021300742574257427,0.021135130289695634,0.021203157425742573,0,0,,,,,,27
RL (PID-features),1.057867922220622,0.2647614847628025,2.7094504861968884,2.0,0.043033884253700284,0.01655209558051205,0.5316394988438654,0.44878530554884083,2.4849216891086026,1.538217169381218,5.762345679012346,5.666666666666667,0.002147206362302897,0.002212939768976898,0.002128048771543821,0.002205653465346535,0.00235312467913458,0.0023080014851485147,0.0024500513384671796,0.0023296237623762375,0.00235312467913458,0.0023080014851485147,0,0,,,,,,27
