variant_id,display_name,kind,hidden_layers,selected_seed,best_val_loss,final_val_loss,steps_completed,stopped_early,weight_path
history8_16_16,history8 16_16,history8,"(16, 16)",0,0.015138897437931145,0.015138897437931145,7600,True,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_history8_16_16__inverted_pendulum_linearized.npz
history8_32_32,history8 32_32,history8,"(32, 32)",0,0.014279548624666367,0.014279548624666367,9100,True,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_history8_32_32__inverted_pendulum_linearized.npz
history8_32_32_32,history8 32_32_32,history8,"(32, 32, 32)",0,0.014288788434226938,0.014288788434226938,10000,True,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_history8_32_32_32__inverted_pendulum_linearized.npz
pidfeat,PID-features,pidfeat,(),0,5.7115064547404975e+84,5.7115064547404975e+84,100000,False,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_pidfeat__inverted_pendulum_linearized.npz
rich11_16_16,rich11 16_16,rich11_pendulum,"(16, 16)",0,0.01438984916542905,0.01438984916542905,9300,True,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_rich11_16_16__inverted_pendulum_linearized.npz
rich11_32_32,rich11 32_32,rich11_pendulum,"(32, 32)",0,0.014062540485088537,0.014062540485088537,8200,True,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_rich11_32_32__inverted_pendulum_linearized.npz
rich11_32_32_32,rich11 32_32_32,rich11_pendulum,"(32, 32, 32)",0,0.892884952751403,0.892884952751403,11000,True,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_rich11_32_32_32__inverted_pendulum_linearized.npz
state6_16_16,state6 16_16,state6,"(16, 16)",0,0.014702358929278903,0.014702358929278903,7200,True,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_state6_16_16__inverted_pendulum_linearized.npz
state6_32_32,state6 32_32,state6,"(32, 32)",0,0.014218061122806153,0.014218061122806153,6400,True,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_state6_32_32__inverted_pendulum_linearized.npz
state6_32_32_32,state6 32_32_32,state6,"(32, 32, 32)",0,0.014426083073669382,0.014426083073669382,2800,True,/Users/leonidsokolov/PycharmProjects/3rd_year_project_sem2/control_bench/experiments/results/rl_numpy/inverted_pendulum_linearized_variants/per_variant/rl_state6_32_32_32__inverted_pendulum_linearized.npz
