controller,num_cases,failure_count,pass_count,pass_fraction,pass_all_cases,failed_cases,failure_reasons,mean_final_state_norm,worst_final_state_norm,worst_max_abs_theta_deg,worst_max_abs_x_m,worst_final_abs_x_m,worst_final_abs_theta_deg
MPC,18,0,18,1.0,True,,,0.000755502128269944,0.0011766459290046217,8.0,0.24499901606397856,0.00033980712516082617,0.009114829311353047
rich11 32_32,18,0,18,1.0,True,,,0.0021507968863427943,0.0034797326516257934,8.0,0.2615200057948634,0.001882453531939211,0.027735628671135833
state6 16_16,18,0,18,1.0,True,,,0.0027049454854107978,0.005617864993920679,8.0,0.2557498533238297,0.005491965833984001,0.039025135385269784
rich11 16_16,18,0,18,1.0,True,,,0.003974958657637443,0.0056215618014172465,8.0,0.24781942004085578,0.005425032765126193,0.022371939837495688
state6 32_32_32,18,0,18,1.0,True,,,0.002896413117026157,0.005828886263025568,8.020084574368765,0.33181733639861366,0.005622506703801024,0.021820046105486823
history8 16_16,18,0,18,1.0,True,,,0.0031441203809533815,0.006750173911011645,8.104639707665317,0.2820332244403552,0.006365150405539996,0.0433574819520329
history8 32_32_32,18,0,18,1.0,True,,,0.004349750190193336,0.008944235309105602,8.0,0.2589257349499372,0.008478697574182157,0.049627044339547045
state6 32_32,18,0,18,1.0,True,,,0.006720338578363272,0.011299303781852312,8.0,0.2662616467055522,0.01014969602186389,0.053336269553368926
history8 32_32,18,0,18,1.0,True,,,0.008128912784375357,0.012995208249688155,8.0,0.249886363532799,0.011930811179077027,0.05511197158649358
rich11 32_32_32,18,17,1,0.05555555555555555,False,"x+0.00__theta+3.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0","angle_limit,final_theta_not_settled,final_x_not_settled",0.9563080897014965,2.3648792042535263,21.968702811483634,1.5759513298147563,1.5759513298147563,21.968702811483634
