controller,hidden_order,num_cases,failure_count,pass_count,pass_fraction,pass_all_cases,failed_cases,failure_reasons,mean_final_state_norm,worst_final_state_norm,worst_max_abs_theta_deg,worst_max_abs_x_m,worst_final_abs_x_m,worst_final_abs_theta_deg
MPC,1.0,18,0,18,1.0,True,,,0.0008002287042035359,0.001251511380582025,8.0,0.2447871548763702,0.00039928506355262755,0.009151562520745204
MPC,2.0,18,0,18,1.0,True,,,0.0009047973400204227,0.001429043344045863,8.230708851448462,0.2446272579076155,0.0005362943876093814,0.009225135728999485
MPC,3.0,18,0,18,1.0,True,,,0.0010480194280023446,0.0016792869321967014,8.922686849248846,0.24599145558957602,0.0007222531941507279,0.009340169193278283
MPC,4.0,18,0,18,1.0,True,,,0.001205073834578515,0.001955823909080059,10.127551568426737,0.24962688258060056,0.0009295685159097803,0.00945863706886891
MPC,5.0,18,18,0,0.0,False,"x+0.00__theta+3.0,x+0.00__theta+5.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0","final_rate_not_settled,final_theta_not_settled",2.801331701511747,3.59778236341901,11.87386079405315,0.28411475269944575,0.06123753841580246,10.26879822926627
history8 16_16,1.0,18,0,18,1.0,True,,,0.003232498494664474,0.006965255222876211,8.246780491786971,0.2939254058985292,0.006538874710030975,0.045237398132452526
history8 16_16,2.0,18,0,18,1.0,True,,,0.003559976657936655,0.007819605262200824,8.884508790117351,0.3391470555318404,0.007290435461425,0.051922165400071
history8 16_16,3.0,18,18,0,0.0,False,"x+0.00__theta+3.0,x+0.00__theta+5.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0","angle_limit,final_rate_not_settled",1.2462740619291868,2.3569937720903154,21.8666773978131,0.6760951461376455,0.6760951461376455,21.8666773978131
state6 32_32_32,1.0,18,0,18,1.0,True,,,0.0029557909487257497,0.00607654506835378,8.164757168120758,0.35277466329625223,0.005861281618191492,0.02290908495039446
state6 32_32_32,2.0,18,4,14,0.7777777777777778,False,"x+0.00__theta+5.0,x+0.00__theta-5.0,x+0.05__theta-5.0,x-0.05__theta+5.0",final_rate_not_settled,0.3681171081961038,0.6403859111465737,9.075393514712802,0.4638933219860426,0.0136410551798157,0.9836104588123386
